Az,8.0.0

Az.Accounts,4.0.2

Az.Advisor,1.1.2

Az.Aks,4.1.0

Az.AnalysisServices,1.1.4

Az.ApiManagement,3.0.0

Az.AppConfiguration,1.1.0

Az.ApplicationInsights,2.0.0

Az.Attestation,1.0.0

Az.Automation,1.7.3

Az.Batch,3.2.0

Az.Billing,2.0.0

Az.Cdn,2.1.0

Az.CloudService,1.1.0

Az.CognitiveServices,1.11.0

Az.Compute,4.27.0

Az.ContainerInstance,3.1.0

Az.ContainerRegistry,3.0.0

Az.CosmosDB,1.8.0

Az.DataBoxEdge,1.1.0

Az.Databricks,1.2.0

Az.DataFactory,1.16.7

Az.DataLakeAnalytics,1.0.2

Az.DataLakeStore,1.3.0

Az.DataShare,1.0.1

Az.DeploymentManager,1.1.0

Az.DesktopVirtualization,3.1.0

Az.DevTestLabs,1.0.2

Az.Dns,1.1.2

Az.EventGrid,1.3.0

Az.EventHub,2.0.0

Az.FrontDoor,1.9.0

Az.Functions,4.0.3

Az.HDInsight,5.0.1

Az.HealthcareApis,2.0.0

Az.IotHub,2.7.4

Az.KeyVault,4.5.0

Az.Kusto,2.1.0

Az.LogicApp,1.5.0

Az.MachineLearning,1.1.3

Az.Maintenance,1.2.0

Az.ManagedServiceIdentity,1.0.0

Az.ManagedServices,3.0.0

Az.MarketplaceOrdering,1.0.2

Az.Media,1.1.1

Az.Migrate,1.1.2

Az.Monitor,3.0.1

Az.MySql,1.0.0

Az.Network,4.17.0

Az.NotificationHubs,1.1.1

Az.OperationalInsights,3.1.0

Az.PolicyInsights,1.5.0

Az.PostgreSql,1.1.0

Az.PowerBIEmbedded,1.1.2

Az.PrivateDns,1.0.3

Az.RecoveryServices,5.4.0

Az.RedisCache,1.6.0

Az.RedisEnterpriseCache,1.0.0

Az.Relay,1.0.3

Az.ResourceMover,1.1.0

Az.Resources,6.0.0

Az.Security,1.3.0

Az.SecurityInsights,1.1.0

Az.ServiceBus,1.9.0

Az.ServiceFabric,3.0.2

Az.SignalR,1.4.1

Az.Sql,3.9.0

Az.SqlVirtualMachine,1.1.0

Az.StackHCI,1.1.1

Az.Storage,4.6.0

Az.StorageSync,1.7.0

Az.StreamAnalytics,2.0.0

Az.Support,1.0.0

Az.Synapse,1.4.0

Az.TrafficManager,1.1.0

Az.Websites,2.11.2

ExchangeOnlineManagement,3.1.0

Microsoft.Graph,1.27.0

Microsoft.Graph.Applications,1.27.0

Microsoft.Graph.Authentication,1.27.0

Microsoft.Graph.Bookings,1.27.0

Microsoft.Graph.Calendar,1.27.0

Microsoft.Graph.ChangeNotifications,1.27.0

Microsoft.Graph.CloudCommunications,1.27.0

Microsoft.Graph.Compliance,1.27.0

Microsoft.Graph.CrossDeviceExperiences,1.27.0

Microsoft.Graph.DeviceManagement,1.27.0

Microsoft.Graph.DeviceManagement.Actions,1.27.0

Microsoft.Graph.DeviceManagement.Administration,1.27.0

Microsoft.Graph.DeviceManagement.Enrolment,1.27.0

Microsoft.Graph.DeviceManagement.Functions,1.27.0

Microsoft.Graph.Devices.CloudPrint,1.27.0

Microsoft.Graph.Devices.CorporateManagement,1.27.0

Microsoft.Graph.Devices.ServiceAnnouncement,1.27.0

Microsoft.Graph.DirectoryObjects,1.27.0

Microsoft.Graph.Education,1.27.0

Microsoft.Graph.Files,1.27.0

Microsoft.Graph.Financials,1.27.0

Microsoft.Graph.Groups,1.27.0

Microsoft.Graph.Identity.DirectoryManagement,1.27.0

Microsoft.Graph.Identity.Governance,1.27.0

Microsoft.Graph.Identity.SignIns,1.27.0

Microsoft.Graph.Mail,1.27.0

Microsoft.Graph.ManagedTenants,1.27.0

Microsoft.Graph.Notes,1.27.0

Microsoft.Graph.People,1.27.0

Microsoft.Graph.PersonalContacts,1.27.0

Microsoft.Graph.Planner,1.27.0

Microsoft.Graph.Reports,1.27.0

Microsoft.Graph.SchemaExtensions,1.27.0

Microsoft.Graph.Search,1.27.0

Microsoft.Graph.Security,1.27.0

Microsoft.Graph.Sites,1.27.0

Microsoft.Graph.Teams,1.27.0

Microsoft.Graph.Users,1.27.0

Microsoft.Graph.Users.Actions,1.27.0

Microsoft.Graph.Users.Functions,1.27.0

Microsoft.Graph.WindowsUpdates,1.27.0

Microsoft.Online.SharePoint.PowerShell,16.0.27011.12008

Microsoft.PowerApps.Administration.PowerShell,2.0.168

MicrosoftPowerBIMgmt,1.2.1111

MicrosoftPowerBIMgmt.Admin,1.2.1111

MicrosoftPowerBIMgmt.Capacities,1.2.1111

MicrosoftPowerBIMgmt.Data,1.2.1111

MicrosoftPowerBIMgmt.Profile,1.2.1111

MicrosoftPowerBIMgmt.Reports,1.2.1111

MicrosoftPowerBIMgmt.Workspaces,1.2.1111

MicrosoftTeams,6.1.0

MSAL.PS,4.37.0.0

PackageManagement,1.4.8.1

PnP.PowerShell,1.11.0

PowerShellGet,2.2.5

SqlServer,21.1.18256